h3,pop,kab
86650dccfffffff,2833.0,509
86650dcd7ffffff,5244.0,509
86650dcdfffffff,3051.0,509
86650dce7ffffff,1850.0,510
86650dcefffffff,2532.0,510
86650dcf7ffffff,3023.0,510
86650dd07ffffff,77661.0,510
86650dd0fffffff,20218.0,510
86650dd17ffffff,10712.0,510
86650dd1fffffff,9351.0,510
86650dd27ffffff,19467.0,510
86650dd2fffffff,183795.0,492
86650dd37ffffff,9654.0,510
86650dd47ffffff,3060.0,510
86650dd4fffffff,16233.0,510
86650dd57ffffff,601.0,510
86650dd5fffffff,550.0,510
86650dd67ffffff,13441.0,510
86650dd6fffffff,8544.0,510
86650dd77ffffff,17653.0,510
86650dd87ffffff,15334.0,510
86650dd8fffffff,7176.0,509
86650dd97ffffff,5307.0,509
86650dd9fffffff,3597.0,509
86650dda7ffffff,22149.0,510
86650ddafffffff,13693.0,510
86650ddb7ffffff,9528.0,510
866520037ffffff,1.0,243
866520107ffffff,445.0,243
86652010fffffff,2.0,243
866520117ffffff,10.0,243
866520127ffffff,6204.0,243
86652012fffffff,1818.0,243
866520137ffffff,21.0,243
8665201a7ffffff,1.0,243
866520327ffffff,1152.0,363
86652032fffffff,1615.0,363
866520347ffffff,3113.0,363
86652034fffffff,3.0,363
866520367ffffff,3364.0,363
86652036fffffff,4095.0,363
866520377ffffff,2644.0,363
866520807ffffff,8330.0,243
86652080fffffff,742.0,243
