No,ID_SPKLU,Nama_SPKLU,Tagging_SPKLU,Jenis_Lokasi,UP3,Kota_Kab,Latitude,Longitude,Jml_Transaksi,Energi_kWh,Pendapatan_Rp
23,2264,SPKLU HVT PASAR SEGAR,Hijau (Utilisasi Tinggi >50 trx),Mall / Retail / Supermarket,DEPOK,KOTA DEPOK,-6.403602,106.83337,1389,30549.34,78371712
24,544,SPKLU CENTER REST AREA KM 164 B RUAS TOL CIPALI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,SUMEDANG,KAB. MAJALENGKA,-6.706957,108.224772,1121,28927.91,71358930
25,1990,SPKLU HVT ONE STOP CHARGING STATION SURAPATI,Hijau (Utilisasi Tinggi >50 trx),Publik / Pemerintah / Transportasi,BANDUNG,KOTA BANDUNG,-6.898728,107.621305,1371,28221.04,75184946
26,1998,SPKLU NISCALA ONE STOP CHARGING STATION SURAPATI,Hijau (Utilisasi Tinggi >50 trx),Publik / Pemerintah / Transportasi,BANDUNG,KOTA BANDUNG,-6.898728,107.621305,1004,27872.1,74255216
27,2169,SPKLU HVT Chery Avante Sholeh Iskandar,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,BOGOR,KOTA BOGOR,-6.560036,106.788375,1250,27437.8,71066622
28,2005,SPKLU Center Amanah Raharjo Rest Area KM 229 B Ruas Kanci - Pejagan,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIREBON,KAB. CIREBON,-6.884592,108.708023,800,27405.81,73011830
29,2004,SPKLU PLN UCI BENY SM GEELY CIBUBUR,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,GUNUNG PUTRI,KAB. BOGOR,-6.391599,106.952961,1069,27127.04,70261735
30,2089,SPKLU VOKSEL TAMAN PANAS DINGIN CAFÉ CIBINONG,Hijau (Utilisasi Tinggi >50 trx),F&B / Kafe / Leisure Retail,DEPOK,KOTA DEPOK,-6.436056,106.851302,1206,26641.53,68346233
31,524,SPKLU REST AREA KM 19 B RUAS JAKARTA - CIKAMPEK,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,BEKASI,KAB. BEKASI,-6.271176,107.039319,1231,26496.01,68628063
32,1942,SPKLU UCI BENY CHERY TRIMEGAH BEKASI,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,BEKASI,KOTA BEKASI,-6.263917,106.995638,1107,26010.48,69294232
33,2034,SPKLU HOEGENG POSPOL GADOG,Hijau (Utilisasi Tinggi >50 trx),Publik / Pemerintah / Transportasi,BOGOR,KAB. BOGOR,-6.655357,106.858832,1163,25911.77,67113543
34,533,SPKLU REST AREA KM 19 A RUAS JAKARTA - CIKAMPEK,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIKARANG,KAB. BEKASI,-6.269056,107.036151,1033,25295.11,65516514
35,607,SPKLU (ARISTA POWER) BYD ARISTA DEPOK,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,DEPOK,KOTA DEPOK,-6.381324,106.830033,978,24930.2,63957687
36,306,SPKLU REST AREA KM 101 B RUAS CIPALI (UFC),Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,PURWAKARTA,KAB. SUBANG,-6.509102,107.718693,896,24713.38,67057870
37,1448,SPKLU PLN TRANS STUDIO MALL BANDUNG,Hijau (Utilisasi Tinggi >50 trx),Mall / Retail / Supermarket,BANDUNG,KOTA BANDUNG,-6.925774,107.636134,968,22745.32,60596953
38,543,SPKLU REST AREA KM 102 A Tol Cikampek-Palimanan,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,PURWAKARTA,KAB. SUBANG,-6.508229,107.721088,925,21653.29,58754940
39,2261,SPKLU CENTER SUMMARECON BEKASI,Hijau (Utilisasi Tinggi >50 trx),Mall / Retail / Supermarket,BEKASI,KOTA BEKASI,-6.22557,107.00069,859,19960.82,53177078
40,593,SPKLU REST AREA KM 125 B RUAS PADALARANG - CILEUNYI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIMAHI,KOTA CIMAHI,-6.885976,107.520432,683,19887.0,49057213
41,516,SPKLU REST AREA KM 72 A RUAS CIKAMPEK - PADALARANG,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,PURWAKARTA,KAB. PURWAKARTA,-6.466612,107.444503,1036,19677.12,49994315
42,10,SPKLU REST AREA (TRAVOY) KM 207 A Ruas Palikanci,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIREBON,KAB. CIREBON,-6.775515,108.562221,807,19324.16,51481843
43,2011,SPKLU BTN CABANG CIBUBUR SALES CENTER,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,GUNUNG PUTRI,KAB. BOGOR,-6.385731,106.937607,853,18327.53,47469845
44,1743,SPKLU (ARISTA POWER) BYD ARISTA SUMMARECON BEKASI,Hijau (Utilisasi Tinggi >50 trx),Mall / Retail / Supermarket,BEKASI,KOTA BEKASI,-6.223169,106.998075,858,17986.42,47917256
45,2119,SPKLU NISCALA PLN ULP BOGOR BARAT,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BOGOR,KAB. BOGOR,-6.515967,106.757028,771,17087.41,44257788
46,2083,SPKLU UCI BENNY ASTON PUNCAK,Hijau (Utilisasi Tinggi >50 trx),Hotel / Hospitality,CIANJUR,KAB. CIANJUR,-6.712701,107.010887,638,16678.76,43610545
47,2245,SPKLU CENTER DAYA+ PLN UP3 CIREBON,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,CIREBON,KOTA CIREBON,-6.711136,108.540153,568,16665.38,43165615
48,2038,SPKLU DAYA+ PLN UP3 BEKASI 120kW,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BEKASI,KOTA BEKASI,-6.252847,107.010401,728,16632.1,44310341
49,2198,SPKLU PT AMARTA MUSTIKA SAWANGAN,Hijau (Utilisasi Tinggi >50 trx),Lainnya / Campuran,DEPOK,KOTA DEPOK,-6.373445,106.745508,721,16589.13,42558960
50,304,SPKLU REST AREA KM 130 A RUAS CIPALI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,INDRAMAYU,KAB. INDRAMAYU,-6.57588,107.960335,735,15988.88,41806583
51,184,SPKLU PLN ULP CILEUNGSI,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,GUNUNG PUTRI,KAB. BOGOR,-6.407381,106.972579,646,15790.18,40898766
52,447,SPKLU HVT Rest Area KM 45 Ciawi,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,BOGOR,KAB. BOGOR,-6.63647,106.843786,818,15757.69,40813702
53,19,Rest Area KM 208 B Ruas Palikanci,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIREBON,KAB. CIREBON,-6.778025,108.567214,500,15222.18,40553376
54,2040,SPKLU HVT PLN ULP CIPAYUNG,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BOGOR,KAB. BOGOR,-6.650524,106.89581,664,14842.83,38444967
55,242,SPKLU PLN ULP GARUT KOTA,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,GARUT,KAB. GARUT,-7.194623,107.886342,554,13792.84,35725222
56,2246,SPKLU CENTER DAYA+ RA KM 228 A RUAS TOL PALIKANCI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIREBON,KAB. CIREBON,-6.881308,108.70276,433,13452.54,35839429
57,538,SPKLU REST AREA KM 149 B RUAS PADALARANG - CILEUNYI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,MAJALAYA,KOTA BANDUNG,-6.968575,107.703976,538,12520.44,33356063
58,536,SPKLU REST AREA KM 42 B RUAS JAKARTA - CIKAMPEK,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,KARAWANG,KAB. KARAWANG,-6.354965,107.230412,543,11998.83,30782475
59,439,SPKLU HVT REST AREA KM 97 CIPULARANG,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,PURWAKARTA,KAB. PURWAKARTA,-6.675164,107.439186,489,10621.53,26987128
